Date,SalesRep,Region,Product,Color,Units,Revenue
2015-11-06,Julie,East,Sunshine,Blue,4,78.8
2015-11-07,Adam,West,Bellen,Clear,4,123.0
2015-11-07,Julie,East,Aspen,Clear,1,26.0
2015-11-07,Nabil,South,Quad,Clear,2,69.0
2015-11-07,Julie,South,Aspen,Blue,2,51.0
2015-11-08,Adam,South,Carlota,Red,3,71.85
2015-11-08,Adam,West,Doublers,Blue,2,162.9
2015-11-09,Julie,East,Aspen,Blue,2,43.0
2015-11-09,Julie,South,Sunshine,Clear,6,122.7
2015-11-09,Jessica,South,Bellen,Red,15,330.0
2015-11-09,Jessica,East,Sunbell,Clear,2,51.0
2015-11-09,Julie,West,Carlota,Red,2,48.9
2015-11-09,Nicole,West,Sunbell,Red,2,53.0
2015-11-10,Nicole,East,Quad,Blue,2,69.0
2015-11-10,Nabil,South,Quad,Blue,19,616.7
2015-11-10,Nicole,West,Sunbell,Rainbow,3,78.0
2015-11-10,Julie,South,Sunbell,Blue,2,51.0
2015-11-10,Adam,East,Carlota,Purple,3,71.85
2015-11-10,Julie,South,Doublers,Clear,2,158.9
2015-11-10,Mike,East,Quad,Red,1,36.0
2015-11-10,Adam,West,Doublers,Red,3,73.5
2015-11-10,Mike,East,Carlota,Red,1,24.95
2015-11-10,Nicole,South,Doublers,Rainbow,4,314.8
2015-11-11,Julie,East,Doublers,Red,2,50.0
2015-11-11,Julie,West,Quad,Clear,1,37.0
2015-11-12,Nicole,East,Doublers,Blue,2,50.0
2015-11-12,Adam,South,Bellen,Blue,1,33.0
2015-11-12,Adam,West,Sunbell,Red,2,53.0
2015-11-12,Nicole,West,Aspen,Blue,1,24.0
2015-11-12,Julie,South,Bellen,Rainbow,1,25.95
2015-11-12,Jessica,South,Sunbell,Red,2,51.0
2015-11-12,Jessica,West,Aspen,Clear,3,75.0
2015-11-13,Adam,East,Quad,Rainbow,2,67.0
2015-11-13,Nabil,East,Quad,Red,3,99.0
2015-11-13,Julie,East,Sunshine,Blue,3,59.85
2015-11-13,Julie,East,Carlota,Rainbow,21,460.8
2015-11-14,Adam,West,Aspen,Clear,2,51.0
2015-11-14,Julie,South,Sunshine,Blue,2,42.9
2015-11-14,Jessica,West,Sunshine,Red,3,62.85
2015-11-14,Mike,South,Sunbell,Blue,3,75.0
2015-11-15,Mike,East,Doublers,Blue,1,82.95
2015-11-15,Julie,West,Doublers,Rainbow,2,162.9
2015-11-15,Julie,South,Quad,Purple,1,36.0
2015-11-15,Mike,West,Sunbell,Blue,3,85.5
2015-11-16,Adam,East,Sunbell,Blue,2,58.0
2015-11-16,Jessica,West,Sunbell,Purple,19,499.47
2015-11-16,Nabil,West,Carlota,Blue,1,25.95
2015-11-16,Nicole,East,Bellen,Rainbow,2,59.0
2015-11-16,Adam,South,Sunshine,Clear,2,42.9
2015-11-16,Nabil,West,Doublers,Purple,1,82.95
2015-11-16,Nabil,West,Sunbell,Rainbow,3,85.5
2015-11-16,Julie,West,Carlota,Clear,1,25.95
2015-11-16,Julie,West,Aspen,Rainbow,2,53.0
2015-11-17,Mike,South,Sunbell,Red,3,75.0
2015-11-17,Nabil,West,Quad,Clear,2,71.0
2015-11-17,Nabil,South,Bellen,Clear,1,25.95
2015-11-17,Nabil,South,Doublers,Blue,2,48.0
2015-11-17,Jessica,West,Quad,Red,1,21.0
2015-11-17,Nabil,West,Aspen,Red,1,23.0
2015-11-18,Jessica,West,Aspen,Red,2,51.0
2015-11-18,Julie,East,Sunbell,Clear,4,99.0
2015-11-18,Adam,East,Sunshine,Clear,3,59.85
2015-11-18,Jessica,South,Carlota,Red,2,48.9
2015-11-19,Mike,East,Bellen,Rainbow,1,25.95
2015-11-19,Adam,South,Carlota,Red,4,94.8
2015-11-19,Nicole,South,Carlota,Purple,15,330.0
2015-11-19,Nabil,West,Carlota,Rainbow,2,48.9
2015-11-19,Julie,South,Aspen,Purple,2,43.0
2015-11-20,Julie,West,Carlota,Rainbow,2,48.9
2015-11-20,Julie,South,Quad,Red,1,36.0
2015-11-20,Julie,East,Quad,Red,2,69.0
2015-11-20,Mike,East,Aspen,Purple,3,75.0
2015-11-20,Mike,South,Aspen,Clear,1,23.0
2015-11-20,Mike,West,Sunbell,Red,3,75.0
2015-11-21,Jessica,East,Bellen,Blue,3,71.85
2015-11-21,Nabil,South,Doublers,Clear,2,50.0
2015-11-21,Mike,West,Sunbell,Rainbow,2,51.0
2015-11-21,Nicole,East,Quad,Red,2,67.0
2015-11-22,Nabil,West,Sunshine,Red,1,22.95
2015-11-22,Mike,East,Quad,Red,3,57.0
2015-11-22,Julie,West,Sunshine,Red,2,42.9
2015-11-22,Adam,West,Aspen,Red,2,53.0
2015-11-22,Mike,South,Bellen,Clear,1,25.95
2015-11-22,Jessica,West,Sunbell,Rainbow,3,78.0
2015-11-22,Nicole,West,Quad,Blue,2,71.0
2015-11-22,Nicole,East,Sunbell,Red,1,29.5
2015-11-23,Julie,South,Aspen,Red,3,63.0
2015-11-23,Adam,East,Quad,Red,3,99.0
2015-11-23,Mike,West,Aspen,Rainbow,2,51.0
2015-11-23,Mike,South,Carlota,Blue,3,71.85
2015-11-24,Adam,East,Bellen,Rainbow,3,90.0
